"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","condition","participant_id","comprehension_loop1_attempts","info_comprehension_attempts","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","correct_response","response_label","correct","selected","rt_valid","key_press","foil"
"html-button-response","123","637316","0.0-25.0-0.3","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","7960","img/SmallUmbrella4.png","0","production","kra filgu kas","kra kers kas dew","false","","","",""
"html-button-response","124","647092","0.0-25.0-0.4","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","9775","img/BadSandwich2.png","0","production","dew debanu turu","kersu bilgu pilgu tebanu","false","","","",""
"html-button-response","125","661011","0.0-25.0-0.5","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","13918","img/Man4.png","0","production","kra hivu","kra kiv tan debanu turu","false","","","",""
"html-button-response","126","675564","0.0-25.0-0.6","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","14552","img/BigUmbrella.png","0","production","pilg bir","kas tan dew sebanu","false","","","",""
"html-button-response","127","684300","0.0-25.0-0.7","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","8735","img/SmallUmbrella2.png","0","production","dew bilgu kas","hersu dew bilgu kersu","false","","","",""
"html-button-response","128","690380","0.0-25.0-0.8","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","6078","img/GoodSandwich.png","0","production","teban tan","gersu debanu tebanu kas","false","","","",""
"html-button-response","129","710485","0.0-25.0-0.9","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","20105","img/BadUmbrella4.png","0","production","kra filgu turu","sebanu kivu pilgu kersu","false","","","",""
"html-button-response","130","719060","0.0-25.0-0.10","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","8574","img/BadUmbrella.png","0","production","pilg duru","kra teban sebanu pilgu","false","","","",""
"html-button-response","131","733020","0.0-25.0-0.11","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","13959","img/Woman2.png","0","production","dew gersu","dew kers","false","","","",""
"html-button-response","132","745588","0.0-25.0-0.12","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","12567","img/BigSandwich2.png","0","production","dew debanu pir","kers dew","false","","","",""
"html-button-response","133","751900","0.0-25.0-0.13","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","6311","img/GoodUmbrella2.png","0","production","dew bilgu tan","kra bilgu teban","false","","","",""
"html-button-response","134","758508","0.0-25.0-0.14","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","6607","img/BadSandwich4.png","0","production","kra sebanu turu","hivu givu tan","false","","","",""
"html-button-response","135","765460","0.0-25.0-0.15","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","6951","img/Man2.png","0","production","dew givu","dew tebanu teban","false","","","",""
"html-button-response","136","773564","0.0-25.0-0.16","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","8103","img/SmallSandwich4.png","0","production","kra sebanu kas","pilgu turu kers gas","false","","","",""
"html-button-response","137","781285","0.0-25.0-0.17","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","7719","img/BigWoman.png","0","production","kers bir","dew dan teban pir","false","","","",""
"html-button-response","138","788387","0.0-25.0-0.18","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","7102","img/GoodSandwich4.png","0","production","kra sebanu tan","kiv dew pilgu dan","false","","","",""
"html-button-response","139","796972","0.0-25.0-0.19","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","8583","img/SmallSandwich.png","0","production","teban kas","bilgu givu dew turu","false","","","",""
"html-keyboard-response","140","799965","0.0-26.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","2993","
      <p style=""font-size:24px;"">Thank you! We're almost done!</p>
       <p style=""font-size:20px;"">There are just a few final survey questions...</p>
      <p style=""font-size:20px;""><i>Press any key when you're ready.</i></p>

    ","k","","","","","","","",""
"survey-text","141","832005","0.0-27.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","597635","","","LanguagesSurvey","","","","",""," ",""
"survey-likert","142","832009","0.0-28.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","591128","","","MotivationLikert","","","","",""," ",""
"survey-likert","143","832020","0.0-29.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","584628","","","EngagementLikert","","","","",""," ",""
"survey-text","144","832024","0.0-30.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","578109","","","EngagementSurvey","","","","",""," ",""
"survey-likert","145","832025","0.0-31.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","571595","","","DistractionLikert","","","","",""," ",""
"survey-text","146","832031","0.0-32.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","565096","","","FeedbackSurvey","","","","",""," ",""
"html-keyboard-response","147","832033","0.0-33.0","6994a3207108947586c5f99c","6a42e2df51d202e3a70b4753","6a42e4130643bdce4fc38b09","ImmersiveNoDrogek","xmqs077gxp","0","0","","","","","","558585","","","","","","","",""," ",""
